進出口別,日期,貨品號列,中文貨名,英文貨名,國家,美元(千元)
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,留尼旺,7
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,秘魯,432
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,馬來西亞,3
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,馬拉威,470
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,越南,1709
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,義大利,7
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,葉門,90
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,蒲隆地,126
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,寮國,2233
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,緬甸,63
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,墨西哥,80
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,盧安達,358
進口,110年,090111,未抽除咖啡鹼者, Not decaffeinated,薩爾瓦多,2416
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,中國大陸,30
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,厄瓜多,250
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,巴布亞紐幾內亞,1092
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,巴西,44758
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,巴拿馬,3945
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,牙買加,574
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,加拿大,5
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,古巴,37
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,尼加拉瓜,6053
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,尼泊爾,21
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,瓜地馬拉,23126
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,印尼,17069
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,印度,1483
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,多米尼克,1
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,多明尼加,139
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,衣索比亞,40568
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,宏都拉斯,3305
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,坦尚尼亞,957
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,尚比亞,11
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,東帝汶,205
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,肯亞,3290
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,玻利維亞,298
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,美國,403
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,英國,12
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,剛果民主共和國,14
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,哥倫比亞,32972
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,哥斯大黎加,7059
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,泰國,12
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,海地,1
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,烏干達,680
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,秘魯,1499
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,馬來西亞,4
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,馬拉威,686
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,馬達加斯加,0
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,越南,2502
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,義大利,21
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,聖赫勒拿及阿森松及特斯坦達庫尼亞,62
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,葉門,121
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,寮國,1743
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,緬甸,123
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,墨西哥,1916
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,盧安達,502
進口,111年,090111,未抽除咖啡鹼者, Not decaffeinated,薩爾瓦多,1238
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,中國大陸,68
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,厄瓜多,211
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,巴布亞紐幾內亞,2200
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,巴西,48562
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,巴拿馬,5859
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,牙買加,1235
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,加拿大,7
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,古巴,7
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,尼加拉瓜,10799
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,尼泊爾,15
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,瓜地馬拉,22535
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,印尼,17668
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,印度,1666
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,多米尼克,1
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,多明尼加,96
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,衣索比亞,34280
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,宏都拉斯,1817
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,坦尚尼亞,445
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,東帝汶,484
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,肯亞,2014
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,玻利維亞,197
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,美國,202
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,英國,63
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,剛果民主共和國,71
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,哥倫比亞,30246
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,哥斯大黎加,5581
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,泰國,38
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,海地,0
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,烏干達,734
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,留尼旺,3
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,秘魯,1684
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,馬拉威,442
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,馬達加斯加,0
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,喀麥隆,1
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,越南,2864
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,義大利,16
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,聖赫勒拿及阿森松及特斯坦達庫尼亞,41
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,葉門,64
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,蒲隆地,64
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,寮國,888
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,緬甸,50
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,墨西哥,130
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,盧安達,285
進口,112年,090111,未抽除咖啡鹼者, Not decaffeinated,薩爾瓦多,731
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,中國大陸,190
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,厄瓜多,291
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,巴布亞紐幾內亞,1201
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,巴西,57701
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,巴拿馬,4730
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,牙買加,485
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,加拿大,7
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,古巴,9
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,尼加拉瓜,8316
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,尼泊爾,13
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,瓜地馬拉,19954
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,印尼,19697
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,印度,1799
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,多明尼加,76
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,衣索比亞,37547
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,宏都拉斯,2409
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,坦尚尼亞,614
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,東帝汶,596
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,肯亞,2259
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,玻利維亞,233
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,美國,139
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,英國,65
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,剛果,2
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,剛果民主共和國,1
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,哥倫比亞,26698
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,哥斯大黎加,5070
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,泰國,44
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,烏干達,1190
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,秘魯,1618
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,馬拉威,510
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,喀麥隆,57
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,越南,6516
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,義大利,13
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,聖赫勒拿及阿森松及特斯坦達庫尼亞,18
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,葉門,12
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,蒲隆地,1
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,寮國,1099
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,緬甸,92
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,墨西哥,118
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,盧安達,241
進口,113年,090111,未抽除咖啡鹼者, Not decaffeinated,薩爾瓦多,534
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,中國大陸,320
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,厄瓜多,225
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,巴布亞紐幾內亞,2692
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,巴西,103898
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,巴拿馬,3839
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,牙買加,497
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,加拿大,6
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,尼加拉瓜,15658
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,尼泊爾,16
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,瓜地馬拉,28198
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,印尼,20361
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,印度,2428
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,多米尼克,0
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,衣索比亞,70671
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,宏都拉斯,1049
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,坦尚尼亞,1177
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,東帝汶,142
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,肯亞,2350
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,玻利維亞,248
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,美國,153
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,英國,76
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,哥倫比亞,49199
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,哥斯大黎加,4146
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,泰國,592
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,烏干達,646
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,秘魯,1741
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,馬拉威,89
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,馬達加斯加,122
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,喀麥隆,153
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,越南,8545
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,義大利,8
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,葉門,47
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,蒲隆地,6
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,寮國,1202
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,緬甸,111
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,墨西哥,126
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,盧安達,747
進口,114年,090111,未抽除咖啡鹼者, Not decaffeinated,薩爾瓦多,573
